Name,Ea,HOMO,MW,Chi1v,Q_N,Num_H,TPSA,MolMR,HK_Alpha
Et2NH,20.093212237093688,-0.82355,73.139,2.1213203435596424,-0.317281591027501,1,12.03,24.217699999999994,-0.04
EtNH2,21.333652007648183,-0.7683,45.084999999999994,1.1153550716504106,-0.3307484184390755,2,26.02,14.728400000000002,-0.04
Me2NH,13.659177820267686,-0.77689,45.085,1.0,-0.3227722106803942,1,12.03,14.983700000000002,-0.04
Me3N,26.646749521988525,-0.81253,59.111999999999995,1.3416407864998738,-0.31243196593173367,0,3.24,19.610999999999997,-0.04
MeNH2,21.061185468451242,-0.64846,31.058,0.5773502691896258,-0.33326905475707136,2,26.02,10.111400000000001,-0.04
NEt3,14.012906309751434,-0.92745,101.193,3.0700036416101564,-0.3041599430182366,0,3.24,33.46199999999998,-0.04
NH3,28.013862332695982,-0.59945,17.031,0.0,-0.34392573610777344,3,35.0,5.0221,-0.04
