Name,Ea,S_Total,Num_Rotors,HallKier,Kappa3,Chi1v,HOMO,Q_N,Num_H,TPSA
Et2NH,20.093212237093688,41.331867,2,-0.04,3.9600000000000004,2.1213203435596424,-0.82355,-0.317281591027501,1,12.03
EtNH2,21.333652007648183,36.997002,0,-0.04,1.9600000000000033,1.1153550716504106,-0.7683,-0.3307484184390755,2,26.02
Me2NH,13.659177820267686,36.452173,0,-0.04,1.9600000000000033,1.0,-0.77689,-0.3227722106803942,1,12.03
Me3N,26.646749521988525,41.061746,0,-0.04,1128.9599999999998,1.3416407864998738,-0.81253,-0.3124319659317336,0,3.24
MeNH2,21.061185468451242,34.373906,0,-0.04,-27.040000000000028,0.5773502691896258,-0.64846,-0.3332690547570713,2,26.02
NEt3,14.012906309751434,43.428828,3,-0.04,2.6311409395973158,3.0700036416101564,-0.92745,-0.3041599430182366,0,3.24
NH3,28.013862332695982,31.480484,0,-0.04,-104.0400000000001,0.0,-0.59945,-0.3439257361077734,3,35.0
