Name,Ea,HOMO,MW,Chi1v,Q_N,Num_H,TPSA,MolMR,HK_Alpha,Sum_Angles,Avg_Angle,Max_Angle,Avg_Bond_Len,N_Coordination
Et2NH,20.093212237093688,-0.82355,73.139,2.1213203435596424,-0.317281591027501,1,12.03,24.217699999999997,-0.04,332.8786597882991,110.95955326276636,115.15866743239204,1.3150863592540623,3
EtNH2,21.333652007648183,-0.7683,45.085,1.1153550716504106,-0.3307484184390755,2,26.02,14.728400000000002,-0.04,324.98914574077287,108.3297152469243,109.56950430349248,1.1655499704585939,3
Me2NH,13.659177820267686,-0.77689,45.085,1.0,-0.3227722106803942,1,12.03,14.983700000000002,-0.04,329.36648825926113,109.78882941975371,110.94598778408015,1.3109473836729106,3
Me3N,26.646749521988525,-0.81253,59.112,1.3416407864998738,-0.3124319659317336,0,3.24,19.611,-0.04,331.3570326679702,110.45234422265673,110.45236281708418,1.4624438549687293,3
NEt3,14.012906309751434,-0.92745,101.193,3.0700036416101564,-0.3041599430182366,0,3.24,33.46199999999998,-0.04,334.11492071249666,111.37164023749888,112.01960314675131,1.4732079376440244,3
NH3,28.013862332695982,-0.59945,17.031,0.0,-0.3439257361077734,3,35.0,5.0221,-0.04,320.2851386472295,106.76171288240982,106.87190982639999,1.0117298136027029,3
